"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2002,2,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2003,3,"T",17,4,1,0,26869,NA,2004,"F","GeoD","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2004,4,"T",15,1,2,4,11868,NA,2030,"H","GRvr","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2005,5,"T",22,3,1,2,30908,NA,1581,"S","Wdb","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2006,6,"T",25,1,3,5,19177,NA,1591,"F","GeoD","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2007,7,"T",23,1,3,2,16332,NA,2002,"H","FlmD","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2008,8,"T",29,6,4,4,51488,NA,1550,"S","Wdb","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2009,9,"T",45,10,5,6,58609,NA,1584,"H","Stga","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2010,10,"T",15,2,2,0,8915,NA,1571,"F","PPk","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2011,11,"T",25,0,1,4,5867,NA,0,NA,NA,"DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2012,12,"T",20,3,0,1,5874,NA,1570,"F","PPk","DOM"
"WN1497","REVINGTON","G","YENTLS IMAGE","KEYSTONE SNAPPY",2000,2013,13,"T",2,0,0,0,0,NA,0,NA,NA,"DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2002,2,"T",7,1,1,2,64780,NA,1593,"M","BmlP","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2003,3,"T",3,0,0,0,500,NA,0,NA,NA,"DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2004,4,"T",23,8,3,3,135361,NA,1532,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2005,5,"T",17,5,2,1,410699,NA,1530,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2006,6,"T",21,4,3,3,140129,NA,1530,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2007,7,"T",25,3,9,2,104933,"Q",1552,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2008,8,"T",22,3,2,2,84237,NA,1521,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2009,9,"T",28,1,5,7,54414,NA,1552,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2010,10,"T",10,2,2,0,25700,NA,1562,"M","M","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2011,11,"T",23,5,2,1,17666,NA,1572,"F","DD","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2012,12,"T",26,2,3,4,9933,NA,2001,"F","PPk","DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2013,13,"B",2,0,0,0,50,NA,0,NA,NA,"DOM"
"WA9346","MUSCLES MARINARA","G","MUSCLES YANKEE","CHILI BOWL",2000,2013,13,"T",16,5,1,4,9348,NA,2010,"H","MR","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2003,2,"P",1,0,0,0,0,NA,0,NA,NA,"DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2004,3,"P",15,1,2,1,5781,NA,2021,"H","GRvr","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2005,4,"T",26,6,8,4,27136,NA,1594,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2006,5,"T",34,6,6,6,48452,NA,1574,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2007,6,"T",34,6,5,7,62244,NA,1580,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2008,7,"T",34,5,8,5,60965,NA,1570,"H","FlmD","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2009,8,"T",25,4,2,2,19467,NA,1582,"H","GRvr","DOM"
"XR6888","GRIN AND BOO IT","G","GRINFROMEARTOEAR","CAM BOO ANGEL",2001,2010,9,"T",7,0,0,0,0,NA,0,NA,NA,"DOM"
